onset	duration	fixation	emotion	attention	generic
0	9.01624	1	NA	NA	1
9.01624	0.25	0	neutral	houses	1
9.26624	5.118875	1	NA	NA	1
14.385115	0.25	0	fearful	faces	1
14.635115	5.113885	1	NA	NA	1
19.749	0.25	0	fearful	houses	1
19.999	5.11636	1	NA	NA	1
25.11536	0.25	0	neutral	houses	1
25.36536	12.64896	1	NA	NA	1
38.01432	0.25	0	fearful	faces	1
38.26432	7.61613000000001	1	NA	NA	1
45.88045	0.25	0	fearful	houses	1
46.13045	10.1331	1	NA	NA	1
56.26355	0.25	0	neutral	faces	1
56.51355	7.63287	1	NA	NA	1
64.14642	0.25	0	neutral	houses	1
64.39642	15.14858	1	NA	NA	1
79.545	0.25	0	fearful	houses	1
79.795	10.13268	1	NA	NA	1
89.92768	0.25	0	neutral	faces	1
90.17768	5.11699	1	NA	NA	1
95.29467	0.25	0	neutral	houses	1
95.54467	15.14803	1	NA	NA	1
110.6927	0.25	0	fearful	faces	1
110.9427	12.6504	1	NA	NA	1
123.5931	0.25	0	fearful	houses	1
123.8431	7.6315	1	NA	NA	1
131.4746	0.25	0	neutral	faces	1
131.7246	5.1163	1	NA	NA	1
136.8409	0.25	0	neutral	faces	1
137.0909	5.1163	1	NA	NA	1
142.2072	0.25	0	fearful	faces	1
142.4572	15.1506	1	NA	NA	1
157.6078	0.25	0	fearful	faces	1
157.8578	5.1164	1	NA	NA	1
162.9742	0.25	0	neutral	houses	1
163.2242	10.1328	1	NA	NA	1
173.357	0.25	0	fearful	faces	1
173.607	12.6492	1	NA	NA	1
186.2562	0.25	0	fearful	houses	1
186.5062	7.63290000000001	1	NA	NA	1
194.1391	0.25	0	neutral	faces	1
194.3891	7.63289999999998	1	NA	NA	1
202.022	0.25	0	neutral	houses	1
202.272	5.1164	1	NA	NA	1
207.3884	0.25	0	fearful	houses	1
207.6384	5.11630000000002	1	NA	NA	1
212.7547	0.25	0	fearful	houses	1
