onset	duration	fixation	emotion	attention	generic
0	9.01625	1	NA	NA	1
9.01625	0.25	0	fearful	houses	1
9.26625	7.632873	1	NA	NA	1
16.899123	0.25	0	fearful	faces	1
17.149123	12.649307	1	NA	NA	1
29.79843	0.25	0	fearful	houses	1
30.04843	5.11631	1	NA	NA	1
35.16474	0.25	0	neutral	houses	1
35.41474	5.11637	1	NA	NA	1
40.53111	0.25	0	neutral	faces	1
40.78111	10.14906	1	NA	NA	1
50.93017	0.25	0	fearful	houses	1
51.18017	5.11612	1	NA	NA	1
56.29629	0.25	0	neutral	houses	1
56.54629	7.61881	1	NA	NA	1
64.1651	0.25	0	neutral	faces	1
64.4151	15.16544	1	NA	NA	1
79.58054	0.25	0	neutral	houses	1
79.83054	12.64797	1	NA	NA	1
92.47851	0.25	0	fearful	faces	1
92.72851	5.11799999999999	1	NA	NA	1
97.84651	0.25	0	neutral	houses	1
98.09651	10.14749	1	NA	NA	1
108.244	0.25	0	fearful	houses	1
108.494	5.1163	1	NA	NA	1
113.6103	0.25	0	neutral	faces	1
113.8603	7.63290000000001	1	NA	NA	1
121.4932	0.25	0	neutral	faces	1
121.7432	5.1164	1	NA	NA	1
126.8596	0.25	0	fearful	faces	1
127.1096	15.1648	1	NA	NA	1
142.2744	0.25	0	neutral	houses	1
142.5244	10.1501	1	NA	NA	1
152.6745	0.25	0	fearful	houses	1
152.9245	12.6484	1	NA	NA	1
165.5729	0.25	0	fearful	houses	1
165.8229	7.6328	1	NA	NA	1
173.4557	0.25	0	fearful	houses	1
173.7057	7.63290000000001	1	NA	NA	1
181.3386	0.25	0	fearful	faces	1
181.5886	15.1656	1	NA	NA	1
196.7542	0.25	0	neutral	houses	1
197.0042	5.11850000000001	1	NA	NA	1
202.1227	0.25	0	neutral	faces	1
202.3727	5.1326	1	NA	NA	1
207.5053	0.25	0	fearful	faces	1
207.7553	5.13319999999999	1	NA	NA	1
212.8885	0.25	0	neutral	faces	1
