onset	duration	fixation	emotion	attention	generic
0	9.016237	1	NA	NA	1
9.016237	0.25	0	neutral	faces	1
9.266237	10.149373	1	NA	NA	1
19.41561	0.25	0	neutral	faces	1
19.66561	5.13293	1	NA	NA	1
24.79854	0.25	0	neutral	houses	1
25.04854	5.12841	1	NA	NA	1
30.17695	0.25	0	fearful	faces	1
30.42695	5.12155	1	NA	NA	1
35.5485	0.25	0	neutral	faces	1
35.7985	7.63347	1	NA	NA	1
43.43197	0.25	0	fearful	houses	1
43.68197	12.6645	1	NA	NA	1
56.34647	0.25	0	neutral	houses	1
56.59647	15.16619	1	NA	NA	1
71.76266	0.25	0	fearful	faces	1
72.01266	7.63236000000001	1	NA	NA	1
79.64502	0.25	0	fearful	houses	1
79.89502	5.13311999999999	1	NA	NA	1
85.02814	0.25	0	fearful	houses	1
85.27814	15.16626	1	NA	NA	1
100.4444	0.25	0	fearful	faces	1
100.6944	7.6327	1	NA	NA	1
108.3271	0.25	0	neutral	houses	1
108.5771	12.682	1	NA	NA	1
121.2591	0.25	0	fearful	faces	1
121.5091	5.1178	1	NA	NA	1
126.6269	0.25	0	neutral	houses	1
126.8769	10.1645	1	NA	NA	1
137.0414	0.25	0	neutral	houses	1
137.2914	5.13319999999999	1	NA	NA	1
142.4246	0.25	0	fearful	faces	1
142.6746	5.11709999999999	1	NA	NA	1
147.7917	0.25	0	neutral	faces	1
148.0417	12.6818	1	NA	NA	1
160.7235	0.25	0	neutral	faces	1
160.9735	7.619	1	NA	NA	1
168.5925	0.25	0	fearful	faces	1
168.8425	10.1641	1	NA	NA	1
179.0066	0.25	0	neutral	houses	1
179.2566	7.64850000000001	1	NA	NA	1
186.9051	0.25	0	neutral	faces	1
187.1551	5.1174	1	NA	NA	1
192.2725	0.25	0	fearful	houses	1
192.5225	15.1659	1	NA	NA	1
207.6884	0.25	0	neutral	faces	1
207.9384	5.13300000000001	1	NA	NA	1
213.0714	0.25	0	fearful	houses	1
